t, posRWr_ref, posRWr, posRWtheta_ref, posRWtheta
0.142500, 0.433013, 0.416616, 2.094395, 1.974066
0.144000, 0.433013, 0.416289, 2.094395, 1.971992
0.145500, 0.433013, 0.415959, 2.094395, 1.969910
0.147000, 0.433013, 0.415627, 2.094395, 1.967818
0.148500, 0.433013, 0.415293, 2.094395, 1.965717
0.150000, 0.433013, 0.414956, 2.094395, 1.963608
0.151500, 0.433013, 0.414617, 2.094395, 1.961491
0.153000, 0.433013, 0.414276, 2.094395, 1.959365
0.154500, 0.433013, 0.413932, 2.094395, 1.957232
0.156000, 0.433013, 0.413514, 2.094395, 1.955222
0.157500, 0.433013, 0.412826, 2.094395, 1.953706
0.159000, 0.433013, 0.411931, 2.094395, 1.952623
0.160500, 0.433013, 0.410906, 2.094395, 1.951876
0.162000, 0.433013, 0.409808, 2.094395, 1.951381
0.163500, 0.433013, 0.408678, 2.094395, 1.951062
0.165000, 0.433013, 0.407541, 2.094395, 1.950855
0.166500, 0.433013, 0.406414, 2.094395, 1.950706
0.168000, 0.433013, 0.405308, 2.094395, 1.950571
0.169500, 0.433013, 0.404230, 2.094395, 1.950412
0.171000, 0.433013, 0.403184, 2.094395, 1.950202
0.172500, 0.433013, 0.402171, 2.094395, 1.949919
0.174000, 0.433013, 0.401192, 2.094395, 1.949547
0.175500, 0.433013, 0.400247, 2.094395, 1.949073
0.177000, 0.433013, 0.399334, 2.094395, 1.948492
0.178500, 0.433013, 0.398451, 2.094395, 1.947800
0.180000, 0.433013, 0.397598, 2.094395, 1.946996
0.181500, 0.433013, 0.396772, 2.094395, 1.946081
0.183000, 0.433013, 0.395971, 2.094395, 1.945060
0.184500, 0.433013, 0.395193, 2.094395, 1.943935
0.186000, 0.433013, 0.394437, 2.094395, 1.942712
0.187500, 0.433013, 0.393701, 2.094395, 1.941397
0.189000, 0.433013, 0.392983, 2.094395, 1.939994
0.190500, 0.433013, 0.392282, 2.094395, 1.938511
0.192000, 0.433013, 0.391596, 2.094395, 1.936952
0.193500, 0.433013, 0.390924, 2.094395, 1.935324
0.195000, 0.433013, 0.390265, 2.094395, 1.933633
0.196500, 0.433013, 0.389617, 2.094395, 1.931883
0.198000, 0.433013, 0.388980, 2.094395, 1.930080
0.199500, 0.433013, 0.388352, 2.094395, 1.928228
0.201000, 0.433013, 0.387733, 2.094395, 1.926332
0.202500, 0.433013, 0.387122, 2.094395, 1.924397
0.204000, 0.433013, 0.386517, 2.094395, 1.922425
0.205500, 0.433013, 0.385919, 2.094395, 1.920421
0.207000, 0.433013, 0.385327, 2.094395, 1.918388
0.208500, 0.433013, 0.384740, 2.094395, 1.916328
0.210000, 0.433013, 0.384157, 2.094395, 1.914244
0.211500, 0.433013, 0.383578, 2.094395, 1.912139
0.213000, 0.433013, 0.383003, 2.094395, 1.910015
0.214500, 0.433013, 0.382431, 2.094395, 1.907874
0.216000, 0.433013, 0.381862, 2.094395, 1.905717
0.217500, 0.433013, 0.381296, 2.094395, 1.903547
0.219000, 0.433013, 0.380732, 2.094395, 1.901364
0.220500, 0.433013, 0.380170, 2.094395, 1.899170
0.222000, 0.433013, 0.379609, 2.094395, 1.896966
0.223500, 0.433013, 0.379051, 2.094395, 1.894753
0.225000, 0.433013, 0.378494, 2.094395, 1.892532
0.226500, 0.433013, 0.377938, 2.094395, 1.890304
0.228000, 0.433013, 0.377383, 2.094395, 1.888069
0.229500, 0.433013, 0.376830, 2.094395, 1.885828
0.231000, 0.433013, 0.376277, 2.094395, 1.883582
0.232500, 0.433013, 0.375726, 2.094395, 1.881332
0.234000, 0.433013, 0.375176, 2.094395, 1.879076
